Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:49:49,19-12-2025 02:50:18,28.718s,PASSED
,,,,,,,
Test Cases/HRIS/studioassist/testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:49:51,19-12-2025 02:50:18,26.648s,PASSED
"openBrowser("""")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:49:53,19-12-2025 02:50:12,18.996s,PASSED
"navigateToUrl(""file:///C:/Users/Shashi Prasanjit/Desktop/!DOCTYPE.html"")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:50:12,19-12-2025 02:50:12,0.496s,PASSED
delay(5),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:50:12,19-12-2025 02:50:17,5.115s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:50:17,19-12-2025 02:50:18,0.706s,PASSED
