Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
dashboard,Chrome 143.0.7499.147,,,23-12-2025 11:01:20,23-12-2025 11:02:18,57.752s,PASSED
,,,,,,,
Test Cases/HRIS/dashboard/mydashboard,Chrome 143.0.7499.147,,,23-12-2025 11:01:24,23-12-2025 11:01:57,33.358s,PASSED
"openBrowser(""https://qahris.trilasoft.com/"")",Chrome 143.0.7499.147,,,23-12-2025 11:01:27,23-12-2025 11:01:40,13.539s,PASSED
"setText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_email""), username)",Chrome 143.0.7499.147,,,23-12-2025 11:01:40,23-12-2025 11:01:44,3.681s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_password""), password)",Chrome 143.0.7499.147,,,23-12-2025 11:01:44,23-12-2025 11:01:45,1.090s,PASSED
"click(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/button_Remember Me_btn btn-primary""))",Chrome 143.0.7499.147,,,23-12-2025 11:01:45,23-12-2025 11:01:52,6.364s,PASSED
"click(findTestObject(""Object Repository/HRIS/dashboard_menu/Page_My Dashboard  TrilaSoft/a""))",Chrome 143.0.7499.147,,,23-12-2025 11:01:52,23-12-2025 11:01:55,3.419s,PASSED
"title = getText(findTestObject(""Object Repository/HRIS/Page_My Dashboard  TrilaSoft/h3""))",Chrome 143.0.7499.147,,,23-12-2025 11:01:55,23-12-2025 11:01:56,0.601s,PASSED
println(title),Chrome 143.0.7499.147,,,23-12-2025 11:01:56,23-12-2025 11:01:56,0.035s,PASSED
"assert title == ""Monika Nigam (TS/0128)""",Chrome 143.0.7499.147,,,23-12-2025 11:01:56,23-12-2025 11:01:56,0.018s,PASSED
closeBrowser(),Chrome 143.0.7499.147,,,23-12-2025 11:01:56,23-12-2025 11:01:57,1.563s,PASSED
,,,,,,,
Test Cases/HRIS/dashboard/mydocuments,Chrome 143.0.7499.147,,,23-12-2025 11:01:57,23-12-2025 11:02:18,20.408s,PASSED
"openBrowser(""https://qahris.trilasoft.com/"")",Chrome 143.0.7499.147,,,23-12-2025 11:01:58,23-12-2025 11:02:03,4.927s,PASSED
"setText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_email""), username)",Chrome 143.0.7499.147,,,23-12-2025 11:02:03,23-12-2025 11:02:05,2.422s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_password""), password)",Chrome 143.0.7499.147,,,23-12-2025 11:02:05,23-12-2025 11:02:06,1.128s,PASSED
"click(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/button_Remember Me_btn btn-primary""))",Chrome 143.0.7499.147,,,23-12-2025 11:02:06,23-12-2025 11:02:13,7.220s,PASSED
"click(findTestObject(""Object Repository/HRIS/dashboard_menu/Page_My Dashboard  TrilaSoft/a_1""))",Chrome 143.0.7499.147,,,23-12-2025 11:02:13,23-12-2025 11:02:16,2.612s,PASSED
"title = getText(findTestObject(""Object Repository/HRIS/Page_Documents  TrilaSoft/h3""))",Chrome 143.0.7499.147,,,23-12-2025 11:02:16,23-12-2025 11:02:17,0.700s,PASSED
println(title),Chrome 143.0.7499.147,,,23-12-2025 11:02:17,23-12-2025 11:02:17,0.008s,PASSED
"assert title == ""Documents""",Chrome 143.0.7499.147,,,23-12-2025 11:02:17,23-12-2025 11:02:17,0.013s,PASSED
closeBrowser(),Chrome 143.0.7499.147,,,23-12-2025 11:02:17,23-12-2025 11:02:18,0.852s,PASSED
