Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,23-12-2025 11:43:08,23-12-2025 11:43:58,50.332s,PASSED
,,,,,,,
Test Cases/HRIS/studioassist/testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,23-12-2025 11:43:09,23-12-2025 11:43:58,49.247s,PASSED
"openBrowser("""")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,23-12-2025 11:43:09,23-12-2025 11:43:49,39.641s,PASSED
"navigateToUrl(""http://localhost:3000"")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,23-12-2025 11:43:49,23-12-2025 11:43:52,3.112s,PASSED
delay(5),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,23-12-2025 11:43:52,23-12-2025 11:43:57,5.080s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,23-12-2025 11:43:57,23-12-2025 11:43:58,0.917s,PASSED
