Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,24-12-2025 21:28:00,24-12-2025 21:28:30,29.518s,PASSED
,,,,,,,
Test Cases/HRIS/studioassist/testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,24-12-2025 21:28:01,24-12-2025 21:28:29,28.694s,PASSED
"openBrowser("""")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,24-12-2025 21:28:01,24-12-2025 21:28:18,17.260s,PASSED
"navigateToUrl(""http://localhost:3000"")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,24-12-2025 21:28:18,24-12-2025 21:28:24,5.464s,PASSED
delay(5),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,24-12-2025 21:28:24,24-12-2025 21:28:29,5.050s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,24-12-2025 21:28:29,24-12-2025 21:28:29,0.490s,PASSED
