Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:21:43,19-12-2025 02:22:07,23.713s,PASSED
,,,,,,,
Test Cases/HRIS/studioassist/testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:21:44,19-12-2025 02:22:07,22.893s,PASSED
"openBrowser("""")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:21:44,19-12-2025 02:22:00,15.561s,PASSED
"navigateToUrl(""file:///C:/Users/Shashi Prasanjit/Desktop/!DOCTYPE.html"")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:22:00,19-12-2025 02:22:00,0.648s,PASSED
delay(5),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:22:00,19-12-2025 02:22:05,5.185s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:22:05,19-12-2025 02:22:06,1.081s,PASSED
