Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-testcloud,Chrome 143.0.7499.147,,,21-12-2025 13:27:10,21-12-2025 13:27:23,13.381s,PASSED
,,,,,,,
Test Cases/HRIS/studioassist/testcloud,Chrome 143.0.7499.147,,,21-12-2025 13:27:12,21-12-2025 13:27:23,11.432s,PASSED
"openBrowser("""")",Chrome 143.0.7499.147,,,21-12-2025 13:27:13,21-12-2025 13:27:18,4.782s,PASSED
"navigateToUrl(""file:///C:/Users/Shashi Prasanjit/Desktop/!DOCTYPE.html"")",Chrome 143.0.7499.147,,,21-12-2025 13:27:18,21-12-2025 13:27:18,0.162s,PASSED
delay(5),Chrome 143.0.7499.147,,,21-12-2025 13:27:18,21-12-2025 13:27:23,5.100s,PASSED
closeBrowser(),Chrome 143.0.7499.147,,,21-12-2025 13:27:23,21-12-2025 13:27:23,0.447s,PASSED
