Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-testcloud,Chrome 143.0.7499.147,,,21-12-2025 12:59:11,21-12-2025 12:59:24,13.001s,PASSED
,,,,,,,
Test Cases/HRIS/studioassist/testcloud,Chrome 143.0.7499.147,,,21-12-2025 12:59:12,21-12-2025 12:59:24,11.735s,PASSED
"openBrowser("""")",Chrome 143.0.7499.147,,,21-12-2025 12:59:13,21-12-2025 12:59:19,5.507s,PASSED
"navigateToUrl(""file:///C:/Users/Shashi Prasanjit/Desktop/!DOCTYPE.html"")",Chrome 143.0.7499.147,,,21-12-2025 12:59:19,21-12-2025 12:59:19,0.154s,PASSED
delay(5),Chrome 143.0.7499.147,,,21-12-2025 12:59:19,21-12-2025 12:59:24,5.095s,PASSED
closeBrowser(),Chrome 143.0.7499.147,,,21-12-2025 12:59:24,21-12-2025 12:59:24,0.288s,PASSED
