Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:47:43,19-12-2025 02:48:18,35.185s,PASSED
,,,,,,,
Test Cases/HRIS/studioassist/testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:47:43,19-12-2025 02:48:18,34.402s,PASSED
"openBrowser("""")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:47:44,19-12-2025 02:48:11,27.695s,PASSED
"navigateToUrl(""file:///C:/Users/Shashi Prasanjit/Desktop/!DOCTYPE.html"")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:48:11,19-12-2025 02:48:12,0.529s,PASSED
delay(5),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:48:12,19-12-2025 02:48:17,5.060s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,19-12-2025 02:48:17,19-12-2025 02:48:18,0.756s,PASSED
