Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-testcloud,Chrome 143.0.7499.147,,,20-12-2025 02:33:47,20-12-2025 02:33:59,12.488s,PASSED
,,,,,,,
Test Cases/HRIS/studioassist/testcloud,Chrome 143.0.7499.147,,,20-12-2025 02:33:48,20-12-2025 02:33:59,10.995s,PASSED
"openBrowser("""")",Chrome 143.0.7499.147,,,20-12-2025 02:33:49,20-12-2025 02:33:54,4.905s,PASSED
"navigateToUrl(""file:///C:/Users/Shashi Prasanjit/Desktop/!DOCTYPE.html"")",Chrome 143.0.7499.147,,,20-12-2025 02:33:54,20-12-2025 02:33:54,0.168s,PASSED
delay(5),Chrome 143.0.7499.147,,,20-12-2025 02:33:54,20-12-2025 02:33:59,5.128s,PASSED
closeBrowser(),Chrome 143.0.7499.147,,,20-12-2025 02:33:59,20-12-2025 02:33:59,0.291s,PASSED
