Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login,Chrome 142.0.7444.177,,,09-12-2025 18:41:38,09-12-2025 18:41:51,12.529s,PASSED
,,,,,,,
Test Cases/HRIS/SignIn/invalid_login,Chrome 142.0.7444.177,,,09-12-2025 18:41:39,09-12-2025 18:41:43,3.994s,PASSED
"openBrowser(""https://qahris.trilasoft.com/"")",Chrome 142.0.7444.177,,,09-12-2025 18:41:40,09-12-2025 18:41:43,3.318s,PASSED
closeBrowser(),Chrome 142.0.7444.177,,,09-12-2025 18:41:43,09-12-2025 18:41:43,0.268s,PASSED
,,,,,,,
Test Cases/HRIS/SignIn/login,Chrome 142.0.7444.177,,,09-12-2025 18:41:43,09-12-2025 18:41:51,7.702s,PASSED
"openBrowser(""https://qahris.trilasoft.com/"")",Chrome 142.0.7444.177,,,09-12-2025 18:41:43,09-12-2025 18:41:45,1.721s,PASSED
"setText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_email""), username)",Chrome 142.0.7444.177,,,09-12-2025 18:41:45,09-12-2025 18:41:46,0.975s,PASSED
"setEncryptedText(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/input_Remember Me_password""), password)",Chrome 142.0.7444.177,,,09-12-2025 18:41:46,09-12-2025 18:41:47,0.891s,PASSED
"click(findTestObject(""Object Repository/HRIS/Page_Login  TrilaSoft/button_Remember Me_btn btn-primary""))",Chrome 142.0.7444.177,,,09-12-2025 18:41:47,09-12-2025 18:41:51,3.779s,PASSED
title = getWindowTitle(),Chrome 142.0.7444.177,,,09-12-2025 18:41:51,09-12-2025 18:41:51,0.029s,PASSED
println(title),Chrome 142.0.7444.177,,,09-12-2025 18:41:51,09-12-2025 18:41:51,0.004s,PASSED
"assert title == ""My Dashboard | TrilaSoft""",Chrome 142.0.7444.177,,,09-12-2025 18:41:51,09-12-2025 18:41:51,0.005s,PASSED
closeBrowser(),Chrome 142.0.7444.177,,,09-12-2025 18:41:51,09-12-2025 18:41:51,0.184s,PASSED
