Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:28:02,21-12-2025 13:28:26,23.658s,PASSED
,,,,,,,
Test Cases/HRIS/studioassist/testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:28:04,21-12-2025 13:28:26,22.155s,PASSED
"openBrowser("""")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:28:05,21-12-2025 13:28:20,15.107s,PASSED
"navigateToUrl(""file:///C:/Users/Shashi Prasanjit/Desktop/!DOCTYPE.html"")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:28:20,21-12-2025 13:28:20,0.667s,PASSED
delay(5),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:28:20,21-12-2025 13:28:25,5.128s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:28:25,21-12-2025 13:28:26,0.494s,PASSED
