Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:05:34,21-12-2025 13:06:16,42.173s,PASSED
,,,,,,,
Test Cases/HRIS/studioassist/testcloud,TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:05:35,21-12-2025 13:06:16,41.135s,PASSED
"openBrowser("""")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:05:36,21-12-2025 13:06:10,34.272s,PASSED
"navigateToUrl(""file:///C:/Users/Shashi Prasanjit/Desktop/!DOCTYPE.html"")",TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:06:10,21-12-2025 13:06:11,0.544s,PASSED
delay(5),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:06:11,21-12-2025 13:06:16,5.061s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 145.0.7572.2 Dev,,,21-12-2025 13:06:16,21-12-2025 13:06:16,0.570s,PASSED
